City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,28.74,55,19,5.01,few clouds
1,Dutse,NG,11.7594,9.3392,63.91,21,0,9.66,clear sky
2,Rikitea,PF,-23.1203,-134.9692,78.48,74,100,9.06,overcast clouds
3,San Quintin,MX,30.4833,-115.95,65.39,56,0,4.65,clear sky
4,Nouadhibou,MR,20.931,-17.0347,69.78,68,100,11.5,overcast clouds
5,Salaverry,PE,-8.2333,-78.9667,70.18,83,78,13.27,broken clouds
6,Lebyazhye,RU,55.2689,66.4947,6.13,91,100,7.61,overcast clouds
7,Avarua,CK,-21.2078,-159.775,80.65,89,75,9.22,broken clouds
8,Ahipara,NZ,-35.1667,173.1667,64.53,63,56,8.08,broken clouds
9,Cape Town,ZA,-33.9258,18.4232,68.41,68,0,4.0,clear sky
10,Leningradskiy,RU,69.3833,178.4167,-35.07,92,11,1.86,few clouds
11,Drakino,RU,51.139,39.4021,11.43,92,88,12.44,overcast clouds
12,Aklavik,CA,68.2191,-135.0107,-14.8,70,75,10.36,broken clouds
13,Yaan,NG,7.3833,8.5667,81.37,17,34,5.88,scattered clouds
14,Busselton,AU,-33.65,115.3333,78.08,57,5,7.96,clear sky
15,Haines Junction,CA,60.7522,-137.5108,12.15,67,100,12.66,overcast clouds
16,Brae,GB,60.3964,-1.353,43.14,75,99,19.01,overcast clouds
17,Sibu,MY,2.3,111.8167,75.51,100,40,1.99,light rain
18,Khatanga,RU,71.9667,102.5,-10.55,95,100,5.84,overcast clouds
19,Bandar-E Anzali,IR,37.4727,49.4622,33.91,71,100,13.4,overcast clouds
20,Ancud,CL,-41.8697,-73.8203,63.93,65,87,12.19,overcast clouds
21,Westonaria,ZA,-26.3191,27.6486,71.85,52,0,4.83,clear sky
22,Isangel,VU,-19.55,169.2667,77.11,94,97,5.75,overcast clouds
23,Hervey Bay,AU,-25.2986,152.8535,76.01,78,99,4.0,overcast clouds
24,Tigil,RU,57.8,158.6667,-4.38,92,5,4.47,clear sky
25,Sitka,US,57.0531,-135.33,39.09,93,75,11.5,broken clouds
26,Karratha,AU,-20.7377,116.8463,84.43,66,5,12.59,light rain
27,Rosita,NI,13.9268,-84.4032,81.14,72,70,5.44,broken clouds
28,Koutiala,ML,12.3917,-5.4642,77.59,12,0,8.63,clear sky
29,Saint-Philippe,RE,-21.3585,55.7679,80.15,84,43,7.63,scattered clouds
30,Carnarvon,AU,-24.8667,113.6333,78.87,78,0,10.36,clear sky
31,Hobart,AU,-42.8794,147.3294,55.27,88,70,4.0,broken clouds
32,Ribeira Grande,PT,38.5167,-28.7,66.6,72,20,16.11,few clouds
33,Nanortalik,GL,60.1432,-45.2371,28.81,85,100,20.87,light snow
34,Esperance,AU,-33.8667,121.9,57.04,88,0,9.48,clear sky
35,Dzilam Gonzalez,MX,21.2833,-88.9333,86.31,44,0,5.61,clear sky
36,Atuona,PF,-9.8,-139.0333,78.71,73,14,22.28,few clouds
37,Taltal,CL,-25.4,-70.4833,70.77,72,36,9.28,scattered clouds
38,Talnakh,RU,69.4865,88.3972,13.21,95,100,11.59,light snow
39,Chapais,CA,49.7834,-74.8492,-13.22,87,100,8.55,overcast clouds
40,New Norfolk,AU,-42.7826,147.0587,54.91,70,72,2.75,broken clouds
41,Baoding,CN,38.8511,115.4903,19.63,70,7,3.24,clear sky
42,Houlton,US,46.1262,-67.8403,14.72,67,100,8.05,overcast clouds
43,Nuuk,GL,64.1835,-51.7216,18.21,93,100,10.36,overcast clouds
44,Shakawe,BW,-18.3667,21.85,72.32,72,55,4.59,broken clouds
45,Kiruna,SE,67.8557,20.2251,23.92,80,0,16.11,clear sky
46,Shizunai,JP,42.3339,142.3669,21.99,75,1,13.02,clear sky
47,Ushuaia,AR,-54.8,-68.3,71.26,35,0,3.44,clear sky
48,Butaritari,KI,3.0707,172.7902,81.63,71,29,16.58,scattered clouds
49,Teya,RU,60.3778,92.6267,5.86,98,100,4.16,overcast clouds
50,Christchurch,NZ,-43.5333,172.6333,56.03,87,75,1.14,broken clouds
51,Hasaki,JP,35.7333,140.8333,32.4,46,1,21.03,clear sky
52,Barranca,PE,-10.75,-77.7667,76.33,70,71,14.97,broken clouds
